	Gene	padj	FC	Tissue
139	SRSF7	4.9200000000000004e-183	-0.492848741	Exc_Neuron
140	RGS4	6.25e-182	-0.518298282	Exc_Neuron
141	RTF1	1.4299999999999998e-180	-0.374372666	Exc_Neuron
142	SCAND1	1.9000000000000002e-179	-0.883144126	Exc_Neuron
143	UQCRC2	6.32e-179	-0.554220378	Exc_Neuron
144	DSTN	8.120000000000001e-179	-0.462383662	Exc_Neuron
145	FAM153A	2.99e-178	-0.511150782	Exc_Neuron
146	MAMDC2	4.12e-178	-0.471009152	Exc_Neuron
147	CRYM	6.96e-178	-0.612252637	Exc_Neuron
148	UBE2V2	1.03e-177	-0.51924223	Exc_Neuron
149	MTRNR2L12	2.88e-177	1.825988122	Exc_Neuron
150	RPL10A	3.07e-177	-0.815379664	Exc_Neuron
151	MYL12B	6.52e-177	-0.780826522	Exc_Neuron
152	NDUFA5	1.4699999999999999e-176	-0.601441738	Exc_Neuron
153	C19orf53	2.3299999999999997e-176	-0.821876141	Exc_Neuron
154	CIRBP	2.78e-176	-0.379377128	Exc_Neuron
155	DDRGK1	4.92e-176	-0.863592423	Exc_Neuron
156	TMA7	1.12e-175	-0.483155525	Exc_Neuron
157	ARL6IP5	1.63e-175	-0.506142006	Exc_Neuron
158	TAGLN3	1.81e-175	-0.457413947	Exc_Neuron
159	ATP1B1	2.46e-175	-0.391066226	Exc_Neuron
160	GOT1	2.58e-175	-0.641085778	Exc_Neuron
161	SLC25A3	2.8e-175	-0.500528509	Exc_Neuron
162	DLG2	9.68e-175	0.321294009	Exc_Neuron
163	SLC25A4	2.4e-174	-0.694869847	Exc_Neuron
164	PCSK1N	3.5599999999999998e-174	-0.422597674	Exc_Neuron
165	CCNI	1.1500000000000001e-173	-0.390519299	Exc_Neuron
166	ERH	1.7300000000000002e-173	-0.736683336	Exc_Neuron
167	HMGN3	8.14e-173	-0.372158166	Exc_Neuron
168	RPS6	1.05e-172	-0.627414883	Exc_Neuron
169	MRFAP1	2.99e-172	-0.517537577	Exc_Neuron
170	SRSF5	3.4199999999999995e-172	-0.439594902	Exc_Neuron
171	LGALS1	3.4799999999999995e-172	-1.286260532	Exc_Neuron
172	RAC1	4.3999999999999996e-172	-0.417670198	Exc_Neuron
173	CRLF3	8.799999999999999e-172	-0.461735222	Exc_Neuron
174	HAGH	1.09e-171	-0.483003393	Exc_Neuron
175	S100A6	1.78e-171	-0.849820806	Exc_Neuron
176	NRN1	4.05e-170	-0.606650882	Exc_Neuron
177	FAU	4.35e-170	-0.703001697	Exc_Neuron
178	COX7B	1.55e-169	-0.899338262	Exc_Neuron
179	PFDN2	1.29e-168	-0.449868722	Exc_Neuron
180	MTRNR2L1	3.26e-168	2.362775913	Exc_Neuron
181	RAB1A	7.35e-168	-0.422172757	Exc_Neuron
182	RPL3	1.7300000000000002e-167	-0.788470081	Exc_Neuron
183	HPCA	2.2e-167	-0.60250259	Exc_Neuron
184	TXNRD1	4.95e-167	-0.427813223	Exc_Neuron
185	ZNF302	9.97e-167	-0.554435974	Exc_Neuron
186	PLEKHA7	1.5700000000000003e-166	-0.488977459	Exc_Neuron
187	RPL8	1.97e-166	-0.673876036	Exc_Neuron
188	SH3BGRL3	7.580000000000001e-166	-0.706370561	Exc_Neuron
189	PAK1	1.54e-165	-0.342293818	Exc_Neuron
190	ATP6V1B2	2.88e-165	-0.461942604	Exc_Neuron
191	TUBB	4.0999999999999997e-165	-0.499390001	Exc_Neuron
192	RPRML	4.2e-165	-0.803307439	Exc_Neuron
193	TM2D3	1.85e-164	-0.647037145	Exc_Neuron
194	FLOT1	2.13e-164	-0.439214236	Exc_Neuron
195	GRIN1	4.5100000000000004e-164	0.732534268	Exc_Neuron
196	COPS6	1.0900000000000001e-163	-0.623321294	Exc_Neuron
197	VDAC1	1.7600000000000002e-163	-0.528871098	Exc_Neuron
198	CLTA	1.8900000000000003e-163	-0.521156493	Exc_Neuron
199	RPL19	2.6800000000000003e-163	-0.440231847	Exc_Neuron
200	EDF1	3.4100000000000005e-163	-0.391703707	Exc_Neuron
201	HMP19	7.35e-163	-0.434221362	Exc_Neuron
202	ENY2	1.14e-162	-0.673037693	Exc_Neuron
203	NDUFA12	1.44e-162	-0.706207663	Exc_Neuron
204	COX7A2	2.74e-161	-0.697396251	Exc_Neuron
205	ALDOA	3.59e-161	-0.443997152	Exc_Neuron
206	REEP5	3.64e-161	-0.417412725	Exc_Neuron
207	ITM2C	3.76e-161	-0.434549722	Exc_Neuron
208	TPI1	5.3800000000000006e-161	-0.44816812	Exc_Neuron
209	DCTN3	7.23e-161	-0.943062989	Exc_Neuron
210	PGM2L1	7.64e-161	-0.388168475	Exc_Neuron
211	NDUFA8	3.29e-160	-0.648020954	Exc_Neuron
212	SNX3	3.9000000000000005e-160	-0.429885055	Exc_Neuron
213	ACSL3	4.23e-159	-0.368977683	Exc_Neuron
214	FAM127A	4.73e-159	-0.435589329	Exc_Neuron
215	AP3S1	4.93e-159	-0.495659417	Exc_Neuron
216	PINK1	1.48e-158	-0.598162877	Exc_Neuron
217	MRPL51	2.73e-158	-1.073888245	Exc_Neuron
218	SKP1	3.19e-158	-0.420213653	Exc_Neuron
219	SARAF	1.0600000000000001e-157	-0.363012326	Exc_Neuron
220	BAIAP2L1	1.6e-157	-0.969532543	Exc_Neuron
221	FAM153C	1.64e-157	-0.407092767	Exc_Neuron
222	LAGE3	1.8500000000000002e-157	-0.876554592	Exc_Neuron
223	RPS9	2.1700000000000002e-157	-0.507039356	Exc_Neuron
224	ATP2A2	3.78e-157	-0.347370292	Exc_Neuron
225	EIF5	5.01e-157	-0.461739941	Exc_Neuron
226	SAT2	5.4600000000000005e-157	-0.422472121	Exc_Neuron
227	NACA	6.24e-156	-0.4811425	Exc_Neuron
228	TCEB1	8.57e-156	-0.590411223	Exc_Neuron
229	CADM2	3.14e-155	0.306273095	Exc_Neuron
230	ATP1A1	3.46e-155	-0.371624469	Exc_Neuron
231	RPS15	1.44e-154	-0.395683896	Exc_Neuron
232	FBXO2	1.47e-154	-0.582941581	Exc_Neuron
233	PSMB7	2.76e-154	-0.590819815	Exc_Neuron
234	MED10	3.02e-154	-0.645231838	Exc_Neuron
235	RPL35A	3.04e-154	-0.496111019	Exc_Neuron
236	NDUFB11	3.48e-154	-0.886114901	Exc_Neuron
237	BANF1	3.55e-154	-0.874258306	Exc_Neuron
238	ATF6B	3.56e-154	-0.540060466	Exc_Neuron
239	RPL13	7.88e-154	-0.407745939	Exc_Neuron
240	CLTC	1.68e-153	-0.385328898	Exc_Neuron
241	SCG3	1.7299999999999999e-153	-0.486692884	Exc_Neuron
242	TCEAL7	2.2e-153	-0.772549387	Exc_Neuron
243	ASAH1	2.49e-153	-0.609286062	Exc_Neuron
244	SNCB	3.88e-153	-0.332370414	Exc_Neuron
245	PPA1	7.17e-153	-0.57391703	Exc_Neuron
246	C19orf43	1.13e-152	-0.569296658	Exc_Neuron
247	MED31	1.1499999999999999e-152	-0.698132345	Exc_Neuron
248	SERP2	1.23e-152	-0.493605714	Exc_Neuron
249	ATP5E	2.46e-152	-0.741394397	Exc_Neuron
250	SVOP	2.8199999999999997e-152	-0.354056628	Exc_Neuron
251	TOM1L1	3.6099999999999997e-152	-0.523380928	Exc_Neuron
252	RHEB	3.92e-152	-0.425432271	Exc_Neuron
253	SPDYE3	5.799999999999999e-152	-0.863196749	Exc_Neuron
254	ZNF565	6.15e-152	-0.528943401	Exc_Neuron
255	NAP1L5	8.439999999999999e-152	-0.768880907	Exc_Neuron
256	TMEM14A	9.639999999999999e-152	-0.519396705	Exc_Neuron
257	SELM	2.58e-151	-0.79006796	Exc_Neuron
258	RRAGA	3.08e-151	-0.610256972	Exc_Neuron
259	ATP6V1E1	8.81e-151	-0.391064751	Exc_Neuron
260	DNAJA1	1.33e-150	-0.577911344	Exc_Neuron
261	RPS20	1.86e-150	-0.324905092	Exc_Neuron
262	RPS3	2.13e-150	-0.443951721	Exc_Neuron
263	SPDYE2	4.27e-150	-0.972607157	Exc_Neuron
264	ACOT7	4.7e-150	-0.373793041	Exc_Neuron
265	SF1	5.82e-150	-0.371321951	Exc_Neuron
266	UQCRHL	9.82e-150	-0.840064911	Exc_Neuron
267	PCMT1	1.12e-149	-0.324611348	Exc_Neuron
268	NDUFB2	1.14e-149	-0.854476336	Exc_Neuron
269	MAP1LC3A	1.36e-149	-0.536476542	Exc_Neuron
270	COA3	1.52e-149	-0.902853265	Exc_Neuron
271	WSB1	2.1e-149	-0.329406313	Exc_Neuron
272	MORF4L2	2.2699999999999998e-149	-0.352299241	Exc_Neuron
273	NAP1L1	4.01e-149	-0.293909907	Exc_Neuron
274	UQCRQ	1.2e-148	-0.615592693	Exc_Neuron
275	MRPL20	1.55e-148	-0.71745891	Exc_Neuron
276	MYEOV2	3.54e-148	-0.674466241	Exc_Neuron
277	UQCRB	9.7e-148	-0.38130259	Exc_Neuron
278	ARPC3	1.6899999999999999e-147	-0.6543645	Exc_Neuron
279	TBCA	2.28e-147	-0.338833202	Exc_Neuron
280	PSMD7	2.28e-147	-0.557422965	Exc_Neuron
281	HN1	3.06e-147	-0.631608412	Exc_Neuron
282	ZKSCAN1	3.45e-147	-0.334454422	Exc_Neuron
283	PDXDC1	3.73e-147	-0.340508503	Exc_Neuron
284	ATP5A1	4.04e-147	-0.422589061	Exc_Neuron
285	SSB	4.13e-147	-0.583271912	Exc_Neuron
286	ZSCAN18	4.52e-147	-0.574314836	Exc_Neuron
287	APLP2	5.19e-147	-0.368831468	Exc_Neuron
288	PITHD1	1.68e-146	-0.513213038	Exc_Neuron
289	SAT1	2.02e-146	-0.57395419	Exc_Neuron
290	GPX1	2.16e-146	-0.59074304	Exc_Neuron
291	PNCK	2.19e-146	-0.380643536	Exc_Neuron
292	PDE10A	4.44e-146	-0.249953784	Exc_Neuron
293	CCT3	1.6e-145	-0.518937162	Exc_Neuron
294	SRPK1	2.0400000000000002e-145	-0.358350552	Exc_Neuron
295	CACYBP	1.3500000000000002e-144	-0.603756018	Exc_Neuron
296	MOAP1	3.35e-144	-0.512503527	Exc_Neuron
297	CRBN	5.8e-144	-0.427457704	Exc_Neuron
298	MIEN1	8.57e-144	-0.718623668	Exc_Neuron
299	GHITM	9.47e-144	-0.494776781	Exc_Neuron
300	MRPS16	1.7e-143	-0.718870546	Exc_Neuron
301	NDUFA1	1.91e-143	-0.810786056	Exc_Neuron
302	CCDC65	2.22e-143	-0.841592471	Exc_Neuron
303	GPX4	6.65e-143	-0.447966773	Exc_Neuron
304	RPSA	9.77e-143	-0.381842562	Exc_Neuron
305	RPS8	1.19e-142	-0.435152072	Exc_Neuron
306	TCF25	2.33e-142	-0.276679225	Exc_Neuron
307	RBFOX1	2.97e-142	0.250595095	Exc_Neuron
308	GABBR1	4.38e-142	-0.33273074	Exc_Neuron
309	NRD1	7.66e-142	-0.307903281	Exc_Neuron
310	TAX1BP1	1.9e-141	-0.255984125	Exc_Neuron
311	PSMB5	4.9e-141	-0.508950307	Exc_Neuron
312	MTDH	9.04e-141	-0.297355041	Exc_Neuron
313	HSPH1	1.14e-140	-0.356352323	Exc_Neuron
314	MPC2	1.4699999999999998e-140	-0.612959771	Exc_Neuron
315	NAA20	1.7299999999999998e-140	-0.782332898	Exc_Neuron
316	NDUFB7	1.7899999999999999e-140	-0.643567075	Exc_Neuron
317	RPL7L1	1.87e-140	-0.53449806	Exc_Neuron
318	TOMM7	2.0899999999999998e-140	-0.557762419	Exc_Neuron
319	RPH3A	4.52e-140	-0.386061425	Exc_Neuron
320	DYNC1H1	6.409999999999999e-140	-0.30097703	Exc_Neuron
